Date,Close,Open,High,Low,Volumn
2012-06-20,252.92,253.59,253.59,251.71,"65,356"
2012-06-21,250.46,251.59,252.31,249.22,"60,711"
2012-06-22,244.15,246.57,246.92,243.74,"67,328"
2012-06-25,240.75,243.37,243.37,239.19,"61,377"
2012-06-26,239.68,239.81,241,239.18,"55,097"
2012-06-27,239.85,239.31,240.39,236.6,"62,422"
2012-06-28,239.98,241.07,241.24,238.09,"50,744"
2012-06-29,244.9,238.46,244.9,237.42,"74,222"
2012-07-02,244.46,246.35,246.63,244.42,"64,207"
2012-07-03,246.8,245.47,247.24,245.37,"79,930"
2012-07-04,247.76,247.88,248.83,247.32,"69,946"
2012-07-05,247.67,247.01,248.01,246.49,"65,162"
2012-07-06,245.07,247.93,248.36,243.91,"57,041"
2012-07-09,241.73,242.36,242.92,241.26,"52,018"
2012-07-10,240.88,242.81,243.14,240.01,"56,647"
2012-07-11,240.34,240.37,240.69,238.66,"54,513"
2012-07-12,234.66,240.49,241.06,234.66,"76,190"
2012-07-13,238.77,235.49,239.98,233.58,"77,879"
2012-07-16,239.39,239.81,240.11,237.92,"53,361"
2012-07-17,240.19,238.07,242.21,237.15,"68,345"
2012-07-18,236.42,240.11,241.1,235.61,"81,574"
2012-07-19,240.44,240.09,241.53,239.41,"78,779"
2012-07-20,240.35,240.59,241.49,239.8,"69,456"
2012-07-23,235.75,236.89,236.91,234.36,"63,948"
2012-07-24,236.65,235.19,237.04,234.77,"69,332"
2012-07-25,233.49,231.9,235.78,231.68,"69,158"
2012-07-26,235.33,234.75,236.02,233.04,"67,562"
2012-07-27,242.23,239.64,242.23,238.72,"72,051"
2012-07-30,244.58,244.8,245.35,244.08,"63,837"
2012-07-31,250.08,244.83,252.53,244.39,"101,309"
2012-08-01,249.6,248.42,250.83,247.95,"84,480"
2012-08-02,247.9,250.15,250.43,247.23,"81,365"
2012-08-03,244.81,244.57,247.13,244.17,"72,681"
2012-08-06,250.36,249.92,251.74,249.67,"79,216"
2012-08-07,250.39,250.04,251.14,249.66,"75,164"
2012-08-08,252.84,251.8,255.13,251.74,"119,792"
2012-08-09,258.08,253.34,259.11,253.34,"124,579"
2012-08-10,258.91,257.59,259.12,257.17,"74,297"
2012-08-13,256.65,258.71,258.76,256.63,"53,300"
2012-08-14,260.11,258.14,260.3,257.62,"79,678"
2012-08-16,260.08,260.03,260.56,258.59,"78,941"
2012-08-17,258.2,260.92,261.08,257.6,"76,695"
2012-08-20,258.03,257.65,258.57,256.64,"60,972"
2012-08-21,257.5,259.19,260.2,257.43,"66,818"
2012-08-22,256.21,256.9,258.07,253.79,"70,274"
2012-08-23,257.28,256.06,257.32,254.6,"67,348"
2012-08-24,253.73,254.12,254.92,252.95,"73,622"
2012-08-27,252.77,251.65,253.95,251.34,"83,956"
2012-08-28,252.57,253.46,254.12,251.83,"66,760"
2012-08-29,254.22,253.09,254.64,252.31,"72,304"
2012-08-30,250.96,253.29,253.39,249.65,"70,441"
2012-08-31,250.56,249.58,251.78,249.52,"77,430"
2012-09-03,251.23,250.97,252.65,247.36,"72,075"
2012-09-04,250.56,251.03,251.81,250.22,"67,615"
2012-09-05,245.75,248.73,248.77,245.75,"74,320"
2012-09-06,246.79,246.79,247.77,245.68,"61,614"
2012-09-07,254.02,252.16,254.02,251.79,"99,417"
2012-09-10,253.38,254.8,255.29,253.38,"60,203"
2012-09-11,252.73,252.72,253.32,251.48,"54,591"
2012-09-12,256.95,254.35,257.4,253.78,"70,225"
2012-09-13,256.87,256.68,257.54,255.08,"78,984"
2012-09-14,265.02,263.14,265.3,262.68,"155,886"
2012-09-17,263.97,264.79,265.63,263.48,"105,934"
2012-09-18,264.25,263.39,264.56,263.05,"71,047"
2012-09-19,264.44,263.44,265.34,262.55,"86,342"
2012-09-20,261.87,262.87,263.93,261.54,"86,265"
2012-09-21,263.41,263.26,264.05,262.16,"75,209"
2012-09-24,263.56,262.47,263.87,259.94,"70,725"
2012-09-25,262.03,262.18,263.77,261.63,"76,464"
2012-09-26,260.42,259.38,261.25,258.8,"96,422"
2012-09-27,261.62,258.99,262.06,258.91,"86,742"
2012-09-28,262.49,263.22,263.3,261.48,"105,005"
2012-10-02,262.48,262.82,263.53,262.3,"72,508"
2012-10-04,261.92,262.68,262.91,260.44,"96,252"
2012-10-05,262.07,263.65,264.16,261.46,"80,774"
2012-10-08,260.11,261.83,261.89,259.7,"70,885"
2012-10-09,259.66,260.1,261.65,259.65,"66,414"
2012-10-10,255.15,257.25,257.49,255.15,"91,615"
2012-10-11,252.84,253.14,255.22,250.97,"67,765"
